status,paper_title,authors,year,type,journal_or_school,city,province,species_covered,data_type,key_data_summary,url_or_doi,priority,notes
identified,永川城区主要绿地的植物群落组成及滞尘吸硫能力研究,,硕士,,重庆(参考),,"红花檵木,红叶石楠,麦冬,海桐,八角金盘,桂花等14种",TSP,红花檵木12.361(排名#1);红叶石楠7.311;麦冬排名#2,https://apps.wanfangdata.com.cn/thesis/article:Y2251039,P2,重庆非华中;数据可作为跨区域对比
25	extracted,武汉市主要绿化树种滞尘效应研究,余曼/汪正祥/雷耘等,2009,期刊,环境工程学报,武汉,湖北,"二球悬铃木,杜鹃,红花檵木等",TSP,悬铃木6.93g/m2;杜鹃3.89g/m2;红花檵木4.04g/m2;叶表微观结构关联分析,https://d.wanfangdata.com.cn/periodical/hjwrzljsysb200907040,P0,被引112次;湖北大学+华中师大合作;杜鹃稀缺数据来源
26	extracted,合肥主要绿化树种滞尘效应研究初报,吴中能/于一苏/边艳霞,2001,期刊,安徽农业科学,合肥,安徽,"广玉兰,女贞,香樟,桂花,石楠,悬铃木等15种",TSP,阔乔:广玉兰>女贞>棕榈>悬铃木>香樟;阔灌:石楠>木槿>红叶李>小叶女贞>大叶黄杨>桂花,10.3969/j.issn.0517-6611.2001.06.042,P0,合肥唯一已知补充来源;安徽省林业科学研究所
27	extracted,长沙市9种绿化植物叶片微结构与吸附PM2.5能力的研究,叶志群/李奕宏/黄盼/李巧云等,2023,期刊,湖南林业科技,长沙,湖南,"杜鹃,红叶石楠,桂花,广玉兰,香樟,月季花等9种",PM2.5,PM2.5排序:月季>杜鹃>红叶石楠>金钱松>马尾松>池杉>桂花>广玉兰>香樟,https://bianke.cnki.net/Web/Article/HLKJ202305006.html,P0,中南林业科技大学;PM2.5专项;含5种目标物种
28	meta,不同地域4种常用树种滞尘和吸滞重金属能力比较研究,郑瑶瑶/李晓燕/龙翠玲,2020,期刊,地球与环境,武汉/多城,多省,"广玉兰,女贞,香樟,悬铃木",TSP/PM/重金属,meta分析:女贞南方约2.5倍于北方;广玉兰南方约2倍于北方;南北城市季节对比,https://d.wanfangdata.com.cn/periodical/dzdqhx202002013,P0,多城市meta-analysis;含跨地域对比数据
29	identified,Impact of atmospheric particulate matter retention on physiological characters of five plant species under different pollution levels in Zhengzhou,He Dan/Yuan Jiangqin/Lin Runze et al.,2024,期刊,PeerJ,郑州,河南,"石楠(Photinia serrulata),女贞(Ligustrum lucidum),枇杷,大叶黄杨,海桐",TSP/PM,大叶黄杨最高5.45g/m2;海桐最低1.53g/m2;道路>校园>公园,10.7717/peerj.18119,P1,女贞+海桐为目标物种;PM生理响应(叶绿素/SOD/POD);需确认与贺丹2023数据是否重叠
30	identified,郑州市11种常绿灌木滞尘与抑菌综合能力评价,贺丹/王翼飞/汪安印/李朝梅等,2022,期刊,西北林学院学报,郑州,河南,"八角金盘,夹竹桃,海桐等11种",TSP/PM10/PM2.5/PM>10,八角金盘+夹竹桃综合滞尘抑菌最强;金森女贞最弱,https://bianke.cnki.net/Web/Article/XBLX202205038.html,P1,贺丹系列;八角金盘为目标物种;河南农业大学
31	identified,郑州市常绿灌木滞留颗粒物能力及季节差异,贺丹/王翼飞/原江琴等,2024,期刊,西北林学院学报,郑州,河南,"火棘,夹竹桃,八角金盘,海桐等12种",TSP/PM10/PM2.5(季节),火棘+夹竹桃滞尘最强;四季差异数据,,P1,贺丹系列;含八角金盘+海桐;需确认是否与贺丹2025重叠
32	identified,城市工业区园林绿地滞尘效应的研究,陈芳/周志翔等,2006,期刊,,武汉,湖北,园林植物,TSP,武汉工业区专项;周志翔团队早期研究,,P1,武汉工业区;周志翔团队;被陈小平2017引用
33	identified,城市绿地的滞尘效应及评价方法,赵勇等,2002,期刊,,武汉,湖北,绿地植物,TSP,早期方法论研究,,P2,被陈小平2017引用;方法论参考价值
34	identified,武汉市65个园林树种的生态功能研究,郑鹏等,2012,期刊,,武汉,湖北,65种园林树种,TSP/生态功能,65树种生态功能综合评价,,P2,武汉;大样本;被陈小平2017引用
35	35	extracted,城市公园绿地植物降减颗粒物能力评估,张冰洁,2024,硕士,华中农业大学,武汉,湖北,"香樟,桂花,悬铃木,广玉兰,女贞,海桐,红花檵木,杜鹃,石楠,麦冬等17种",PM10/PM2.5(4季),4季×2区位×17种;41条新增柱状图数据,已下载,P1,⚠所有41条新增数据均来自柱状图人工读数
36	36	extracted,长沙市常见行道树固碳释氧滞尘效益研究,李冰冰,2012,硕士,中南林业科技大学,长沙,湖南,"香樟,二球悬铃木,广玉兰,桂花等8种",TSP(3周累积),二球悬铃木13.94/香樟10.59 g/m²,https://d.wanfangdata.com.cn/thesis/Y2097143,P0,⚠扫描PDF图片表格;24+条数据困于图片表格需DeepSeek识别
37	37	extracted,郑州市绿化植物滞尘效应及其生理特征响应,夏冰/马晓,2017,期刊,江苏农业科学,郑州,河南,"香樟,桂花,广玉兰,女贞",TSP,女贞7.36新增;香樟8.24/桂花5.13已入库,10.15889/j.issn.1002-1302.2017.06.032,P0,广玉兰精确值需柱状图
38	38	extracted,冬季郑州市12个常绿树种的光合特性及滞尘能力,晏增等,2021,期刊,广西植物,郑州,河南,"桂花,女贞,广玉兰,石楠,香樟,海桐等12种",TSP(冬季),桂花已入库;其余5种目标物种仅有范围值,DOI:10.11931/guihaia.gxzw201911004,P0,柱状图数据
39	39	extracted,郑州市7种园林植物滞尘能力与叶片生理及光合响应,贺丹等,2023,期刊,浙江农林大学学报,郑州,河南,"海桐,八角金盘,石楠,女贞等7种",TSP/PM10/PM2.5,石楠TSP=2.06新增,,P0,各功能区单独值仅在柱状图
40	40	extracted,郑州市13种常绿灌木叶面微结构对大气颗粒物滞留能力的影响,贺丹等,2025,期刊,浙江农林大学学报,郑州,河南,"八角金盘,洒金桃叶珊瑚,海桐,石楠等13种",TSP/PM10/PM2.5,石楠新增;修正海桐/八角金盘/洒金桃叶珊瑚功能区→公园清洁区,,P1,已修正3条现有记录
41	41	extracted,中亚热带绿化植物滞留颗粒物效应,李巧云等,2021,期刊,西北林学院学报,长沙,湖南,"桂花,广玉兰,香樟,红花檵木,麦冬等9种",TSP/PM10/PM2.5/PM1,已入库;季节修正2019-04-09→春,,P0,⚠气溶胶再发生器法;修正5条记录采样季节
42	42	extracted,洛阳市不同污染区域园林地被植物滞尘效应,苏维/冯豫张等,2026,期刊,现代园艺,洛阳,河南,"红叶石楠等13种地被",TSP/PM,红叶石楠2条已入库;无麦冬/沿阶草,,P1,洛阳地被数据仍极度稀缺
43	43	extracted,南昌市8种乔木叶片性状对叶表滞留颗粒物的影响,苏维等,2020,期刊,西北林学院学报,南昌,江西,"香樟,广玉兰等8种",TSP/PM10/PM2.5,香樟0.22/广玉兰0.46已入库,,P1,校园环境四季均值
44	44	extracted,不同污染程度下树种滞尘能力与叶表微形态关系研究,王军梦等,2022,期刊,林业调查规划,郑州,河南,"石楠,海桐,女贞等5种",TSP/PM10/PM2.5,石楠PM2.5=1.195/0.190新增;45+数据点困于柱状图,10.3969/j.issn.1671-3168.2022.05.003,P2,
45	45	identified,郑州市不同污染程度下植物的颗粒物滞留效应及生理响应,汪安印,2023,硕士,河南农业大学,郑州,河南,"石楠,海桐,女贞,悬铃木,麦冬,八角金盘等14种",TSP/PM10/PM2.5(多季),贺丹导师;14种跨季节跨污染水平,https://wap.cnki.net/touch/web/Dissertation/Article/1023627724.html,P0,⚠必下载;郑州最完整学位论文之一
46	46	identified,复羽叶栾树植物群落特征及杀菌滞尘效应研究,丑琉懿,2022,硕士,中南林业科技大学,长沙,湖南,复羽叶栾树等群落植物,TSP,长沙4个群落;廖飞勇导师,,P1,需确认是否有个体物种滞尘数据
47	47	identified,道路大气颗粒物的分布特征及绿化带的滞留作用,齐飞艳,2009,硕士,河南农业大学,郑州,河南,"迎春,金钟,枇杷,棣棠等",TSP/PM10/PM2.5/PM1,早期PM分级数据,https://apps.wanfangdata.com.cn/thesis/article:Y1574276,P1,樊巍/赵勇导师
48	48	identified,合肥城市公园陆生植物物种多样性及其生态效应分析,柳小春,2020,硕士,安徽农业大学,合肥,安徽,"桂花,海桐,红花檵木,八角金盘,香樟,广玉兰等30种",TSP(分级),张震导师;30种滞尘分高/中/低三级,,P1,需确认是否有精确g/m²数值
49	49	identified,南昌市城市森林与空气颗粒物分布特征及相关性研究,张帅珺,2016,硕士,江西农业大学,南昌,江西,"香樟,桂花等10种",TSP,马尾松和湿地松最高,,P1,滞尘为附属指标
50	50	identified,城市森林净化大气功能分析及评价,李晓阁,2005,硕士,中南林业科技大学,长沙,湖南,"长沙+株洲多树种",TSP,田大伦/闫文德导师;连续一年监测,,P2,早期研究
51	51	identified,合肥市主要园林植物叶片滞尘能力的差异及形态特征解释,李旭/傅松玲等,2021,期刊,安徽农业大学学报,合肥,安徽,多树种,TSP,国家自然科学基金资助,,P1,需确认目标物种覆盖
52	52	identified,基于滞尘作用的城市道路绿化研究,刘清,2009,期刊,江西农业大学学报,南昌,江西,"罗汉松,红翅槭等17种",TSP,刘苑秋/赖发英,,P2,17种但目标物种覆盖未知
53	53	identified,洛阳市6种行道树对大气颗粒物的滞留能力探究,张言等,2024,期刊,南方农业,洛阳,河南,"石楠,女贞等6种",TSP/PM分级,洛阳首次女贞+石楠行道树数据,,P1,洛阳稀缺数据源
54	54	identified,合肥市8种行道树秋季叶滞尘能力的研究,,2019,期刊,安徽建筑大学学报,合肥,安徽,8种行道树,TSP(秋季),,,P2,安徽农业大学经济技术学院
55	55	identified,长沙市典型园林植物叶片的滞尘等级与模式识别研究,,2022,期刊,生态环境学报,长沙,湖南,"红花檵木,红叶石楠,海桐等10种",滞尘等级,,,P2,中南大学;定性等级为主
56	56	identified,粉尘污染对郑州市典型绿化树种叶片生理生化特性的影响,李元应/侯晓奎,2017,期刊,江苏农业科学,郑州,河南,"女贞,桂花,香樟,广玉兰等典型绿化树种",TSP+生理,郑州粉尘+生理响应;被贺丹2023引用,,P0,参考文献挖掘发现;需确认滞尘定量数据
57	57	identified,常见园林植物滞尘能力及评价方法,高丹丹/赵丽娅/李成等,2017,期刊,湖北大学学报(自然科学版),武汉,湖北,常见园林植物,TSP,高丹丹硕士论文的期刊配套论文,,P1,可能与硕士论文数据互补;需确认是否含新数据
58	58	identified,10种灌木树种滞留大气颗粒物的能力,孙晓丹/李海梅/郭霄等,2017,期刊,环境工程学报,青岛/杭州,浙江,"10种灌木",TSP/PM,含海桐/红花檵木/红叶石楠等可能性高,,P1,被李巧云2021引用;灌木数据可直接填补数据集空白
59	59	identified,杭州市6种常见绿化树种滞尘能力及光合特性,裘璐函/何婉璎/刘美华等,2018,期刊,浙江农林大学学报,杭州,浙江,"6种绿化树种",TSP+光合,杭州补充数据;被贺丹2023引用,,P1,华东区域扩展
60	60	identified,红叶石楠吸附不同粒径颗粒物能力及光合响应,吴海天/杨山/陈健等,2018,期刊,福建农林大学学报(自然科学版),福州,福建,"红叶石楠(Photinia × fraseri)",TSP/PM多粒径,红叶石楠专项;多粒径+光合,,P1,单物种深度数据;被晏增2021引用
61	61	identified,福州市道路常用草本植物滞留颗粒物效应研究,,2017,硕士,福建农林大学,福州,福建,"25种草本含麦冬(Ophiopogon japonicus)",TSP/PM10/PM2.5,麦冬TSP=3.08 g/m²为15种草本第1;地被层重大突破,,P0,地被层核心数据源;25种草本包含地被目标物种
62	62	identified,15种草本植物春季滞留颗粒物效应研究,吴艳芳/闫淑君等,2017,期刊,森林与环境学报,福州,福建,"15种草本含麦冬",TSP/PM10/PM2.5,含麦冬多级PM数据,,P0,地被层;与#61同团队
63	63	identified,南京市6种常见园林植物滞尘效益综合分析,,2021,期刊,中国园林,南京,江苏,"洒金桃叶珊瑚等6种",TSP/PM粒径,洒金桃叶珊瑚单位叶面积滞尘第1,,P0,洒金桃叶珊瑚稀缺数据源
64	64	identified,合肥市主要园林植物叶片滞尘能力的差异及形态特征解释,李旭/傅松玲等,2021,期刊,安徽农业大学学报,合肥,安徽,"洒金桃叶珊瑚等24种",TSP,洒金桃叶珊瑚灌木第1;24种乔灌对比,,P0,合肥补充数据;地被+灌木
65	65	identified,武汉市公园绿化植物滞尘能力的初步研究,,2018,期刊,湖北大学学报(自然科学版),武汉,湖北,"33种公园植物",TSP,常绿灌木>落叶灌木>草本>常绿乔木>落叶乔木,,P1,武汉公园专项;33种大样本
66	66	identified,常见地被植物叶片特征及滞尘效应研究,李超群等,2015,期刊,生态环境学报,北京,北京,"狗牙根/白三叶等5种地被",TSP(时间动态),狗牙根3.83/白三叶3.51 g/m²,,P2,地被时间动态数据;非华中但有方法学参考价值
67	67	identified,Atmospheric PM retention capacity of bark and leaves of urban tree species,Wang ML/Qin M et al.,2024,期刊,Environmental Pollution,长三角,,"Cinnamomum camphora,Osmanthus fragrans,Magnolia grandiflora等5种",PM(叶片+树皮),香樟树皮PM最高;桂花高蜡质细颗粒捕获强,10.1016/j.envpol.2023.123109,P1,英文;含3种目标物种
68	68	identified,Potential of 13 urban greening plants to capture PM across 3 pollution levels,Ma YY et al.,2019,期刊,IJERPH,昆明,云南,"Magnolia grandiflora,Platanus acerifolia等13种",TSP/PM,广玉兰4.20 g/m²;二球悬铃木3.43 g/m²,10.3390/ijerph16030402,P1,英文;含广玉兰+二球悬铃木定量
69	69	identified,8种乔木的滞尘效果及对光合作用的影响,林星宇/李彦华/李海梅等,2019,期刊,福建农业学报,,"浙江/山东","8种乔木",TSP+光合,李海梅团队;8种乔木滞尘+光合双数据,,P2,被贺丹2023引用
