title,author,source,year,abstract,has_data,raw_answer
无锡地区腺样体肥大儿童的过敏原分布及临床意义分析,沈莉莉; 赵冬菊,"0
source        期刊
source    中国现代医生
Name: 10, dtype: str",,目的 研究腺样体肥大儿童的过敏原分布及其临床意义。方法 回顾性分析2021年1月至2022年10月无锡市第二人民医院耳鼻喉科收治的223例腺样体肥大儿童的过敏原检测结果，并设不伴腺样体肥大的儿童43例作为对照组，对结果进行比较。结果 腺样体肥大组总过敏原阳性率为54.7%，对照组总过敏原阳性率为27.9%，两组差异有统计学意义（P<0.05）。腺样体肥大组中吸入性过敏原阳性率为41.3%，以户/粉尘螨、霉菌为主；食入性过敏原阳性率为32.3%，以牛奶、鸡蛋白为主。腺样体肥大组按年龄分组，2～7岁组总过敏原阳性率为54.0%;8～14岁组总过敏原阳性率为55.7%，两者差异无统计学意义（P>0.05）。结论 过敏原刺激是腺样体肥大发生的病因之一，户/粉尘螨、霉菌、牛奶、鸡蛋白是无锡地区腺样体肥大儿童的常见过敏原。并且过敏原刺激对腺样体肥大的影响并不随着年龄增长而呈下降趋势。因此，进行血清过敏原检测，可以了解患儿的特异性过敏原，对腺样体肥大儿童的非手术治疗提供方向。,False,否
2020年无锡市滨湖区工业企业职业卫生现状调查,王昌松; 章红; 倪敏华; 朱惠娟,"0
source        期刊
source    江苏预防医学
Name: 11, dtype: str",,"目的 了解无锡市滨湖区工业企业职业病危害因素接触及管理现状，为制定职业病防治策略提供依据。方法 2020年，采用整群抽样方法，抽取滨湖区4个镇（街道）存在职业病危害因素企业1 593家，现场开展职业病危害现状调查。结果 1 594家调查企业中，职业病危害因素接触总人数23 146人，职业病危害因素接触率为42.04%（23 146/55 051）。有限责任公司是主要经济类型（1 400家，占87.83%）,微型企业是主要企业规模类型（961家，60.29%）。职业病危害因素接触种类涉及粉尘28种、化学因素86种、物理因素10种，噪声是接触人数最多的职业病危害因素（20 901人，占98.10%）。职业病危害申报申报率为67.13%。不同规模企业申报率差异有统计学意义（χ<sup>2</sup>=7.82,P<0.05）。主要负责人培训率为76.98%,健康管理人员为56.52%,接触职业病危害因素职工为41.45%,不同规模企业该3项培训率差异均有统计学意义（χ<sup>2</sup>值分别为54.038、102.780、2 999.073,P值均<0.05）。职业病危害因素检测率为3",False,否
宁波市镇海区大气降尘矿物组成及来源解析,韦继康; 余晓霞; 吴梦璐; 方海伦; 邱雨欣,"0
source        期刊
source    中国环境监测
Name: 12, dtype: str",,"为探讨宁波市镇海区大气降尘矿物组成及来源，用X射线衍射法分析了镇海区6个土地功能区2019年12月至2020年11月4个季度的大气降尘样品的矿物组成和含量，并开展了矿物来源解析。结果显示，降尘中以石英、长石、碳酸盐类矿物和黏土矿物为主，年均质量分数分别为29.2%、33.3%、24.2%和7.7%,且不同功能区各季度降尘中矿物含量普遍有显著差异。来源解析表明，镇海区降尘中矿物来源主要以地面扬尘输入为主，同时周边源区输入及人类活动和工业密集区燃煤等输入对降尘矿物组成有较显著影响，除黏土矿物、碳酸盐类矿物和长石类矿物之外，其他矿物的含量还与不同季节的气温和风向有关。",False,否
2011—2020年南通市环境空气质量的变化特征及社会经济影响因素研究,陈秀梅,"0
source        期刊
source    环境科学导刊
Name: 13, dtype: str",,运用个体固定效应面板模型对南通市2011—2020年7个县市区的环境空气质量的社会经济影响因素进行分析，并通过不同工业发展程度下的面板回归模型结果进行比较，得出随着工业发展程度的不同，环境空气质量的影响因素具有明显的差异。当工业发展程度较低时，工业烟粉尘排放量对环境空气质量产生显著负向作用，人均GDP的增长率也带来了环境空气质量的下降。当工业发展程度较高时，综合能源消费量对环境空气质量产生负向影响，第二产业比重、人均地区生产总值的增长率对环境空气质量产生正向影响。该模型为“十四五”南通市大气污染防治攻坚工作提供了更为精准的防治方向。,False,否
浅谈马钢AS工艺中氨水类换热器堵塞原因及改进方法,胡学松; 黄希,"0
source      期刊
source    冶金动力
Name: 14, dtype: str",,介绍了马钢股份煤焦化公司南区新净化装置在2019年后，生产过程中遭遇的氨水类换热器频繁堵塞、换热效率差等问题；分析了上述堵塞形成的原因及堵塞物类型，采取了减少粉尘夹带、优化焦油氨水界面控制、增设气浮除油、更换过滤器瓷管及高效清洗换热器等一系列改进措施；降低了此类换热器的堵塞频率，同时发现了一种高效、经济的换热器清洗方式，并以此方式提高了氨水类换热器的换热效率。,False,否
无锡市新吴区450家小微企业职业卫生状况调查,赵学彬; 陈勤龙; 胡磊,"0
source          期刊
source    海峡预防医学杂志
Name: 15, dtype: str",,"目的 了解无锡市新吴区小微企业职业病危害状况和职业卫生管理水平，为小微企业职业病防治工作提供对策和建议。方法 对辖区450家小微企业开展职业卫生调查和现场检测并进行分析。结果 450家小微企业总体接害率为45.2%,接害人员中接触噪声的占86.7%,接触粉尘人员的体检率高于其他两种危害因素（χ<sup>2</sup>=17.05,P<0.05）。结论 小微企业未能依法落实职业病防治主体责任，在职业卫生管理方面存在诸多问题，噪声超标严重，政府需加大监管执法力度，督促企业落实主体责任，共同保障劳动者身体健康。",False,否
2021年黄石市工作场所职业病危害因素监测分析,李霞; 宋焰超; 郑登峰,"0
source       期刊
source    职业与健康
Name: 16, dtype: str",,目的 分析2021年黄石市工作场所职业病危害因素监测结果，为本地职业病防治提供理论依据。方法 从《中国疾病预防控制信息系统》的子系统《工作场所职业病危害因素监测系统》中导出2021年黄石市工作场所职业病危害因素监测数据进行分析。结果 2021年黄石市开展了150家企业工作场所职业病危害因素检测。150家企业共有劳动者42 495人，接触职业病危害因素人数为19 597人，职业病危害接触率为46.12%。不同地区职业病危害因素接触率差异有统计学意义（P<0.01），下陆区职业病危害因素接触率最高；不同规模企业职业病危害因素接触率差异有统计学意义（P<0.01），微型企业职业病危害因素接触率最高；不同行业职业病危害因素接触率差异有统计学意义（P<0.01），制造业职业病危害因素接触率最高。不同种类职业病危害因素超标率差异有统计学意义（P<0.01）。粉尘场所检测295个点，超标率为18.31%；岗位检测290个点，超标率为18.97%。化学危害因素场所检测228个点，超标率为5.26%；岗位检测40个点，超标率为25.00%。噪声场所检测798个点，超标率为41.10%；岗位检测11个点，,False,否
2020年芜湖市采矿业粉尘职业危害情况调查与健康风险评价,沈登辉; 林超; 范磊; 唐剑; 张汉杰,"0
source       期刊
source    职业与健康
Name: 17, dtype: str",,目的 调查2020年芜湖市采矿业粉尘职业危害状况，初步评价其健康风险，并提出措施建议。方法 选取芜湖市23家采矿企业开展职业卫生调查与监测，并应用GBZ/T 298—2017《工作场所化学有害因素职业健康风险评估技术导则》半定量法和国际采矿与金属委员会定量职业健康风险评估法（ICMM定量法）进行健康风险评估。结果 芜湖市采矿业粉尘污染超标类型主要为矽尘，矽尘监测点总体超标率12.3%(14/114)，其次是石灰石尘、其他粉尘总体超标率分别为7.1%(1/14)和0。从行业类型看，矽尘（总尘）超标率最高的为黑色金属采选、矽尘（呼尘）超标率最高的为有色金属采选；从岗位分布看，凿岩岗位矽尘超标率最高。风险评价半定量法，矽尘风险指数3.16～5.00、风险中～极高，石灰石尘风险指数1.41～2.83、风险可忽略～中，其他粉尘风险指数1.00～1.41、风险可忽略；ICMM定量法，矽尘风险指数1 500～5 000、均为不可容忍风险，石灰石尘风险指数30～100、风险潜在～高，其他粉尘风险指数30、潜在风险。结论 芜湖市采矿业矽尘危害健康风险较高，应引起重视，加强职业培训和管理，保护劳动者健康。,False,否
“这是拿工人的生命当儿戏呀！”江苏南通市一粉尘涉爆企业隐患被重重处罚,仲卫,"0
source       期刊
source    安全与健康
Name: 18, dtype: str",,<正>“中央除尘器水喷淋系统的水压怎么这么低，水压这么低为什么增压泵还不能启动增压？这两个阀门为什么都处于关闭位置？还有，你们调漆间的可燃气体报警仪超过报警值为什么不报警？怎么没有通风换气系统？油漆间怎么使用非防爆的空调？”江苏南通市应急管理局行政执法人员对一家粉尘涉爆企业开展精准执法时，发现诸多问题，如果处置不及时，一旦发生爆炸，后果不堪设想。,False,否
宁波市59家黑色金属铸造企业粉尘危害特征分析,冷朋波; 段东辉; 李晓海; 毛国传; 屈凌燕; 张丹丹; 王爱红,"0
source             期刊
source    中华劳动卫生职业病杂志
Name: 19, dtype: str",,"目的分析黑色金属铸造企业粉尘岗位浓度分布, 评估其职业健康风险, 为尘肺病防治政策制定提供依据。方法于2020年8至9月, 对59家黑色金属铸造企业的基本信息、粉尘危害信息和职业卫生管理信息等进行调查, 分析粉尘浓度分布, 并利用定量赋值模型进行风险评估。粉尘浓度经对数处理后采用LSD方法检验。以粉尘的3倍时间加权平均容许浓度作为粉尘的峰浓度限值;以接触时间折算后的粉尘时间加权平均容许浓度作为粉尘的时间加权平均接触浓度限值, 并以同一岗位粉尘的时间加权平均容许浓度和峰浓度是否超过限值作为粉尘岗位浓度的超标依据计算岗位超标率。结果粉尘危害主要分布在砂处理、造型、落砂、清砂和切割打磨岗位, 其中, 砂型铸造企业粉尘作业岗位呼尘时间加权平均容许浓度M(P1, P100)为0.44(0.03, 5.11)mg/m3, 峰接触浓度为1.30(0.18, 10.94)mg/m3, 岗位超标率为38.92%(79/203)。切割打磨岗位其他粉尘(总尘)时间加权平均容许浓度为1.50(0.15, 7.40)mg/m3, 峰接触浓度为0.90(0.07,12.48)mg/m3, 岗位超标率为4.88%(",False,否
2020年镇江市152家企业职业危害因素监测结果分析,戴恬; 李少冬,"0
source       期刊
source    职业与健康
Name: 20, dtype: str",,目的 了解镇江市职业病危害因素分布和职业健康检查基本情况，为本地职业病防治提供参考。方法 抽取2020年镇江市152家企业进行粉尘、化学和物理危害因素监测，统计分析职业健康检查结果。结果 2020年镇江市开展职业病危害因素监测152家企业，共设监测点1 744个，其中合格点1 679个，合格率96.27%。不同规模、行业企业的职业病危害因素合格率比较，差异均有统计学意义(均P<0.05)。152家企业接触职业病危害因素人数为8 730人，总接害率为33.64%，不同规模企业职业病危害因素接触率比较，差异有统计学意义(P<0.05)。152家企业中应接受职业健康检查的共12 341人，实际检查8 981人(72.77%)，应接受复查1 849人，实际复查1 057人(57.17%)，职业健康检查异常81人(0.90%)。结论 镇江市152家企业监测的危害因素中粉尘和噪声合格率较低，且接触噪声的职业健康检查异常率最高，职业健康检查率和复查率较低。需要有针对性地加强职业健康监管工作，督促企业落实职业病防治主体责任，同时应强化监管过程中的信息化手段运用。,False,否
典型城市工业污染排放演变及驱动因素分析——以无锡为例,严逗; 骆童靖; 籍艳丽; 崔召磊,"0
source       期刊
source    科技和产业
Name: 21, dtype: str",,描述无锡2001—2020年工业废水、废气与烟(粉)尘排放量时空演变后，运用LMDI模型对其影响因素展开分析。研究表明：样本期内，工业废水与烟(粉)尘排放量总体下降，废气排放量数倍增加；当前，市区与江阴污染排放量较多，尤其是废水与废气；经济规模导致工业污染排放量增加、产业结构使其减少、技术水平作用方向不同，且3个因素对不同污染物影响效应存在显著差异；从地区角度看，市区与江阴贡献较大，4个时段不同污染排放量增减方向与驱动主因(因素贡献与地区贡献)也不同。,False,否
2020年无锡市梁溪区微小企业职业危害因素调查,范娜; 李文毅; 刘北星; 王昱凯; 浦敏杰,"0
source        期刊
source    江苏预防医学
Name: 22, dtype: str",,"目的 了解无锡市梁溪区微小企业职业危害现状，为加强职业病防治工作提供依据。方法 以梁溪区辖内385家微小企业为调查对象，收集相关资料，采用描述性流行病学方法进行统计分析。结果 调查的385家企业以私营企业为主，占89.35%;职业危害因素以噪声为主，涉及198家企业，占51.43%;不同行业职业危害因素分布有所差异，其中其他制造业、电力设备制造、纺织品制造和服装制造以噪声为主，均占相应企业数50.00%以上；1 220个职业危险因素检测点中包括物理、化学因素及粉尘，合格率均在85.00%以上；8 055个从业人员中体检异常85人，占接触职业病有害因素人数的4.35%,其中因噪声因素体检异常人数最多，为48人(占5.26%);114家企业开展检测评价，50家申报职业病危害项目，210家以上企业的单位负责人及职业健康管理人员均参加过培训，仅66家企业的从业人员参加过培训，企业类型以私营企业数量最多，行业分布以电力设备制造业数量居多。结论 梁溪区微小企业开展职业健康检查及检测评价情况不容乐观，必须加强对其职业卫生管理和监督工作，切实保护劳动者健康。",False,否
城市绿地中不同植被类型降温滞尘效应分析,史杜芳; 方金生; 牛俪; 张曼; 许信旺; 张永兰,"0
source        期刊
source    安徽农业科学
Name: 23, dtype: str",,"以地处安徽省西南部的池州市区为试验区,选取测试点,观测、对比不同植被类型的降温滞尘效应。结果表明,城市绿地具有明显降温滞尘效应,在气温上,裸地变化幅度最大,草地次之,灌草变化较小,乔灌草变化幅度最小,乔灌草调节温度能力最强,最具优良的降温效应;在滞尘方面,乔灌草型的滞尘效果最好,其次是灌草型和草地,并表现出道路绿地的滞尘效应优于公园绿地和住宅绿地。通过对不同植被类型的降温滞尘效应探究,以期为城市绿地的规划与建设提供理论依据。",False,否
芜湖市汽车制造业职业病危害因素调查,沈登辉; 林超; 范磊,"0
source       期刊
source    职业与健康
Name: 24, dtype: str",,"目的了解2019年芜湖市汽车制造企业职业病危害因素调查与现场监测结果,摸清重点职业病因素危害现况,提出防护措施建议。方法选取芜湖市67家主要汽车制造企业作为研究对象进行职业病危害因素调查与现场监测。结果各类型企业中职业病危害因素接触人数最多的是噪声(5 602人),占接害总人数的87.4%;现场监测结果显示,噪声超标点数170个,超标率为19.7%;粉尘超标点数13个,超标率为14.1%;化学毒物超标点数2个,超标率较低为2.8%。噪声危害主要集中于汽车车身/挂车制造和汽车零部件及配件制造,粉尘和化学毒物危害因素超标率不同汽车行业类型间差异无统计学意义(均P>0.05)。结论噪声和粉尘是芜湖市汽车制造行业主要危害因素,其中粉尘类以石棉尘和矽尘危害为主,潜在危害影响应引起重视。相关汽车制造企业应加强作业场所危害防护措施建设,合理布局,改善工艺,以减少其对作业人员危害,保障职业健康。",False,否
黄石市210家企业职业病危害因素监测结果分析,李霞; 宋焰超; 孙强国; 石刚; 张凤霞; 徐贝贝,"0
source       期刊
source    职业与健康
Name: 25, dtype: str",,"目的分析2019年黄石市210家企业工作场所职业病危害因素监测结果,了解黄石市职业病危害因素基本情况,为本地职业病防治提供参考。方法抽取黄石市6个县区210家企业进行粉尘、化学毒物、物理因素检测。结果 2019年监测黄石用人单位210家,检测接害点数2 004个,超标点626个,超标率31.24%。物理因素、化学因素、粉尘的超标率分别为34.20%,7.25%,23.93%,不同危害因素超标率比较,差异有统计学意义(P<0.01)。电焊烟尘超标率45.45%,煤尘超标率14.29%,矽尘超标率40.49%,其他粉尘超标率9.94%,不同粉尘超标率比较,差异有统计学意义(P<0.01)。不同县区企业、不同规模企业、不同行业企业的职业病危害因素超标率比较,差异均有统计学意义(均P<0.01)。结论黄石市重点行业企业工作场所职业病危害因素超标率较高,监测合格率有待提高,需要加强职业卫生监管工作。",False,否
马钢300 m<sup>2</sup>烧结机烟气排放环保达标生产实践,艾文兵,"0
source              期刊
source    安徽冶金科技职业学院学报
Name: 26, dtype: str",,"在当前原燃料结构和设备条件下,如何优化操作,保持生产稳定,以提高烧结矿产质量水平,保证烧结烟气排放达标。",False,否
嗜酸性粒细胞和IgE在过敏性皮肤病中的意义,周琼艳; 林薇; 许素玲; 李澍铖; 袁波; 彭岚; 赵可喻; 郭小燕,"0
source        期刊
source    现代实用医学
Name: 27, dtype: str",,"目的探讨嗜酸性粒细胞(EOS)和tIgE、sIgE在过敏性皮肤病患儿中的意义。方法对272例过敏性皮肤病患儿的外周血采用BC-6800血细胞分析仪和DX-Blot 45过敏原检测系统分别进行EOS、tIgE及sIgE水平检测并进行相关性分析。结果最常见的过敏原分别为吸入性过敏原中的屋尘螨/粉尘螨,食入性过敏原中的牛奶,婴儿组过敏性皮肤病发生率最高。特应性皮炎患儿树花粉组合、屋尘螨/粉尘螨、屋尘、矮豚草、花生、鸡蛋白、虾、蟹、龙虾/扇贝、鳕鱼、鲑鱼、黄豆的sIgE与EOS间存在相关性(均P <0.05)湿疹患儿各过敏原与EOS间不存在相关性(P> 0.05),荨麻疹患儿各过敏原中仅鸡蛋白与EOS间存在相关性(P<0.05)。结论早期进行过敏原检测回避致敏物对疾病防治有临床价值过敏性皮肤病中EOS和sIgE在特应性皮炎发病中起到重要作用。",False,否
安庆地区变应性鼻炎变应原调查分析,李伟; 江晶,"0
source                期刊
source    中国中西医结合耳鼻咽喉科杂志
Name: 28, dtype: str",,"目的研究安徽省安庆市及周边地区变应性鼻炎患者变应原分布特点,初步掌握本地区变应性鼻炎患者变应原种类及分布,为防治该病提供指导。方法采用敏筛定量变应原检测系统(Allergy Screen)检测500例变应性鼻炎患者血清中吸入性变应原的s Ig E,分析各种变应原的阳性率及在年龄、性别方面的差异。结果 500例变应性鼻炎患者检测结果显示:屋尘螨/粉尘螨阳性率为78%(390/500),其次为季节花粉20.8%(104/500)、室内灰尘18.8%(94/500)、猫狗毛皮屑11%(55/500)、混合真菌9.8%(49/500)等。性别上男女阳性率无差异性。本组检测结果数据显示变应原检测的阳性率随年龄增长明显呈现下降趋势,统计学检验有差异性(P<0.05)。结论屋尘螨/粉尘螨为安庆地区变应性鼻炎主要变应原,其次为季节性花粉、屋尘、猫狗皮毛屑、混合真菌等。了解本地区变应原的种类及分布特点,有助于变应性鼻炎(AR)的标准化的诊断和治疗以及最优化的预防措施,尤其是为临床变应性鼻炎的个体化免疫治疗提供依据。",False,否
南通码头粉尘在线监测系统投用,nan,"0
source      期刊
source    水运工程
Name: 29, dtype: str",,"<正>2019年12月27日,南通市沿江、沿海码头粉尘在线监测系统安装完成并投入使用。截至目前,南通市有27个沿江、沿海码头已安装粉尘在线监测系统99套,并接入南通市生态环境监测平台,实现了交通运输、生态环境管理部门间监测数据实时共享,成为全省第一个实现沿江、沿海同步全覆盖的地区。码头一旦发生超标情况,企业、监管部门在第一时间会收到预警信息。",False,否
